,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C1orf35,467.180028,2.468976253,0.46131188,5.352076026,8.70E-08,1.31E-05
N4BP2L2-IT2,180.3751722,-0.267211879,0.678856739,-0.393620426,0.693861298,0.929521215
MBTPS1,609.6674212,-0.736025687,0.36569532,-2.012674616,0.044148872,0.339982575
GIGYF1,1696.10636,0.937914749,0.315366919,2.974042906,0.00293904,0.068042388
TDRD3,160.5524181,-0.603378719,0.64242846,-0.939215426,0.347620151,0.773861511
ZCCHC3,491.9812393,2.655143259,0.504156732,5.266503634,1.39E-07,1.95E-05
KDM3B,783.1497084,-0.580104578,0.266841143,-2.173969772,0.029707405,0.27620614
HADHA,680.9842679,-0.667119711,0.472085239,-1.413134018,0.157616323,0.588918153
RABEP1,768.2247244,-0.285998748,0.413561535,-0.69155065,0.489219562,0.855881711
SCARNA17,1651.755753,2.843494169,0.42694866,6.660037688,2.74E-11,9.16E-09
RNVU1-19,679.7787252,6.864088775,0.811563424,8.457858708,2.72E-17,2.83E-14
FOXP4,713.7064422,1.033058439,0.340344762,3.03532933,0.002402732,0.058942393
PRDX5,397.1645693,-0.577654055,0.475551405,-1.214703708,0.224479118,0.667675129
MRPL47,51.63479845,-1.242731983,0.87367519,-1.422418763,0.154904719,0.585353693
ZNF664,410.9324478,-0.497107371,0.588651267,-0.84448535,0.398398246,0.80775858
LRRK2,599.583651,-0.662169868,0.523597592,-1.26465415,0.205995333,0.650866182
SLCO4C1,296.6397424,-1.188429577,0.756028975,-1.571936549,0.115965267,0.523088647
FBXW4P1,674.4389072,3.760238467,0.623905223,6.026938598,1.67E-09,3.97E-07
AHNAK,19591.86245,-1.671314249,0.451262467,-3.703641161,0.000212527,0.010733964
BAZ2B,2197.08322,-0.469611596,0.245166216,-1.9154825,0.055430999,0.382210672
RAB22A,260.865159,-0.400347936,0.485328254,-0.824901359,0.409427595,0.814185147
ITGB5,551.6506012,-0.60244318,0.291855981,-2.064179661,0.039000685,0.3168184
FGFR1OP2,225.8606832,-0.592131618,0.580961623,-1.019226735,0.308095337,0.743590575
ZBTB1,347.0845772,-0.279034025,0.572262261,-0.487598159,0.6258345,0.907014509
ELF1,323.6527233,-0.573626371,0.457844873,-1.252883685,0.21024804,0.655133918
AZIN1,344.6835777,-0.28015287,0.665965324,-0.420671857,0.673994714,0.923722026
RLTPR,189.2901066,1.048615335,0.751841731,1.394728826,0.163097629,0.597350169
ANO6,749.9698797,-0.305994538,0.482051781,-0.634775247,0.52557501,0.87049202
PDDC1,753.4768834,1.466065996,0.426825936,3.434810009,0.000592969,0.023005815
ARL10,206.1121405,1.936559959,0.420199117,4.608672124,4.05E-06,0.000385466
RN7SK,57198.44991,-2.457568429,0.581673716,-4.224994806,2.39E-05,0.001780646
TCAIM,216.2957166,-0.476722294,0.497622058,-0.958000729,0.338062391,0.766129917
TTBK2,176.9708556,-0.58966217,0.446008952,-1.322085951,0.186139531,0.627390931
MEX3C,728.7192854,1.953514519,0.448207168,4.358507979,1.31E-05,0.001064215
SCAMP1,141.0265191,-0.806979796,0.79529702,-1.014689827,0.310253705,0.744457088
PEX3,80.97305741,-0.758194892,0.97253276,-0.779608588,0.435621299,0.830764981
MAML2,668.1763398,-0.912863967,0.365582904,-2.49700945,0.012524562,0.173568455
UHMK1,466.692162,-0.45957698,0.515034348,-0.892322972,0.372219845,0.789114063
PPDPF,438.9297958,-0.726177008,0.572517081,-1.268393612,0.204657422,0.648874481
EFR3A,481.2165051,-0.43492139,0.579897155,-0.749997455,0.453256238,0.839908434
IFT81,148.8077538,-0.33219034,0.686384543,-0.483971184,0.62840632,0.908527474
NDFIP1,402.2435448,-0.794820855,0.523085427,-1.519485756,0.128640271,0.545931955
CEPT1,94.01341165,-0.160347262,0.737067871,-0.217547485,0.827781705,0.963247445
BCL2L13,315.5934015,-0.63396695,0.560383186,-1.131309728,0.257924751,0.701231578
KHDRBS1,460.4528375,-0.495998949,0.357177891,-1.388660837,0.164935908,0.60031916
EID1,522.6550943,-0.242151658,0.574337898,-0.421618804,0.673303279,0.923609139
NUDT21,233.499069,-0.605826586,0.738217501,-0.82066137,0.411839181,0.815686917
SNORD13,969.7880666,5.374773384,0.716899133,7.497251899,6.52E-14,3.48E-11
HOXC8,651.213704,2.521415147,0.474509748,5.313726761,1.07E-07,1.54E-05
GNPNAT1,83.73956206,-0.804827205,0.83377592,-0.965279982,0.334404596,0.762513047
PSMD8,219.6192455,-0.624420007,0.502336444,-1.243031468,0.213856238,0.657651785
MTRNR2L2,1418.262241,3.661727317,0.635243273,5.764291374,8.20E-09,1.59E-06
SKIL,494.9994363,-0.411837898,0.509544849,-0.808246612,0.418948629,0.81923927
CCNH,135.7705149,-0.8756925,0.593018951,-1.476668661,0.139764477,0.565587887
CDC42BPA,1228.130257,-0.644194271,0.321281281,-2.005078756,0.044954628,0.343694927
CMTR2,116.3207417,-1.215319854,0.79418738,-1.530268403,0.125950306,0.541534213
SGMS1,247.0090394,-0.561902361,0.724281478,-0.775806613,0.437863178,0.831532218
DHX40,220.369362,-0.658589946,0.519454907,-1.267848156,0.204852181,0.649005116
GINM1,156.497698,-0.454658817,0.776986566,-0.585156599,0.558442424,0.885401464
DYNC1LI1,181.3686376,-0.69799107,0.66100102,-1.055960655,0.290986191,0.730676947
C7orf73,74.67687022,-0.103218814,0.879735258,-0.117329404,0.906599025,0.982076816
DOCK11,323.7473887,-0.434134301,0.502742616,-0.863531928,0.387845073,0.800247048
SLC25A27,173.9951728,-0.228003744,0.746365281,-0.305485464,0.759996439,0.947570176
NR2F1,1015.320781,1.622302743,0.515448124,3.147363753,0.001647499,0.046108572
NHSL1,430.7048504,-1.080134222,0.569284286,-1.897354711,0.057781139,0.390507162
CUL4A,658.5360875,-0.343379073,0.338626084,-1.014036096,0.310565529,0.744699216
FUNDC1,46.53941968,-1.253571885,0.788790258,-1.589233478,0.112007691,0.515721119
ADNP2,140.6673326,-0.830995511,0.559569019,-1.485063473,0.137527011,0.561851683
TMEM37,160.3344764,-0.948354542,0.844114792,-1.123490018,0.261229438,0.703674452
PREPL,376.3392526,-0.502620644,0.612316528,-0.820851016,0.411731135,0.815686917
CPNE8,184.8964484,-1.274310171,0.764160294,-1.667595374,0.095396077,0.485912234
RB1CC1,414.8943832,-0.315540975,0.430558586,-0.732864203,0.463641258,0.843869822
CBR1,174.9365263,-1.537899424,0.743384315,-2.068781105,0.038566632,0.315233106
ZDHHC7,236.4502697,-0.134069876,0.491867351,-0.272573237,0.785181287,0.952972576
ZC3H11A,785.6473593,-0.494323506,0.394837106,-1.251968211,0.210581448,0.655289916
SNORA20,1634.290111,3.358892377,0.57879385,5.803262037,6.50E-09,1.31E-06
FRMD4B,333.5976702,-1.236107044,0.489958407,-2.522881586,0.011639759,0.16608523
GLOD4,163.1897668,-0.56575732,0.582986513,-0.970446671,0.331823895,0.761406006
TRAK1,674.1567181,-0.699009131,0.334048205,-2.092539699,0.036390264,0.305526457
C8orf4,407.3030274,-0.942576022,0.699026914,-1.348411632,0.177526025,0.61786816
OGDH,835.9771736,-0.994267028,0.310091712,-3.206364405,0.001344236,0.040282216
ACO2,741.1087108,-1.205392867,0.446573167,-2.699205769,0.006950519,0.1231021
SMU1,304.4855563,-0.643079499,0.454505195,-1.414900217,0.157097754,0.588349413
LBR,230.1844914,-0.455964603,0.535865333,-0.850894011,0.394828232,0.804730662
SLC44A1,289.8492081,-0.854635616,0.511181436,-1.671883126,0.094547371,0.484562452
TTC14,586.1485817,-0.19617418,0.435075413,-0.450896957,0.652063817,0.915828226
JUP,908.4924795,-0.579915339,0.37117278,-1.562386495,0.118196967,0.526501997
ZNF765,93.87661172,-0.444136988,0.67722972,-0.655814379,0.511943563,0.865041608
PSMC1,136.6176392,-0.334298654,0.615664572,-0.542988291,0.587137864,0.896583718
ANKRD26,538.9159341,-0.809534833,0.523038899,-1.547752633,0.121681865,0.533944918
CHTF8,821.5198374,1.705961428,0.440754739,3.870545855,0.000108592,0.006215865
SND1,630.9514551,-0.753453909,0.334171887,-2.254689694,0.024152813,0.247731108
STRAP,219.8086287,-0.79883597,0.652547972,-1.224179684,0.220884451,0.664133091
NUP214,835.1406984,-0.582119821,0.328411995,-1.772529112,0.076306767,0.440656892
COPZ1,145.5444656,-0.268634567,0.490557725,-0.547610512,0.58395937,0.895405613
AK2,462.9975828,-0.656754292,0.407442887,-1.611892889,0.10698525,0.505584938
LEPROTL1,86.00426534,-0.551240876,0.764403458,-0.721138648,0.470824214,0.848151078
MRPL32,75.83004782,-1.153448617,0.891352906,-1.294042583,0.195650712,0.636735377
ZFYVE16,372.092141,-0.502250692,0.499007074,-1.006500145,0.314175042,0.747854968
ZBED6,435.5574087,-0.305959338,0.627148797,-0.48785765,0.625650674,0.906947772
COQ10B,73.69631913,-0.840305658,0.817707601,-1.027635865,0.304121147,0.74018727
PHB,310.1788514,-1.163753794,0.506341618,-2.298356983,0.02154148,0.232968861
SDHB,191.4020205,-1.045001036,0.666640739,-1.56756252,0.116983265,0.524642281
CMKLR1,586.7781753,1.675050356,0.572297384,2.926888018,0.003423721,0.076570383
C14orf80,188.6620943,3.306308173,0.651693275,5.073411525,3.91E-07,4.83E-05
NEDD9,518.8377927,-1.33451907,0.569181177,-2.344629661,0.019045987,0.217788159
BCAM,1399.351254,-0.367236851,0.383518234,-0.957547304,0.338291082,0.766452971
ARPP19,443.584221,-0.647945138,0.403485424,-1.605870002,0.108302476,0.507939536
SNRNP40,76.71322528,-0.588962364,0.61569807,-0.956576597,0.338781006,0.766719344
SUGT1,126.7910653,-0.692303601,0.653915292,-1.058705323,0.289734003,0.729432316
USP9X,1219.389595,-0.500729075,0.283481908,-1.766352844,0.077336671,0.444433187
GOLPH3,273.1208493,-0.519922866,0.431343226,-1.205357669,0.228065256,0.671512252
CCDC47,537.1861057,-0.594511806,0.458764051,-1.295898849,0.195010336,0.635908869
CTAGE5,502.7729353,-0.615396637,0.533672411,-1.153135564,0.248854746,0.692693854
LGALS8,341.0680343,-0.854281627,0.424468292,-2.012592324,0.044157535,0.339982575
ERGIC1,352.9181949,-0.538801287,0.470774802,-1.144498994,0.252416755,0.69696953
HMBOX1,331.7438815,-0.283271865,0.384949691,-0.735867237,0.461811498,0.843455812
LINC00674,519.247967,-0.17847181,0.241764746,-0.738204442,0.460390224,0.842690346
SNORA66,1240.535945,3.44128997,0.693323172,4.963471735,6.92E-07,8.18E-05
PTK2,1014.382515,-0.405579576,0.312244727,-1.298915695,0.193972863,0.635134234
FBXO21,424.2949307,-1.438717658,0.570461302,-2.522024988,0.011668142,0.166130113
LAPTM4A,265.6472201,-0.878756329,0.633706955,-1.386691944,0.165535718,0.601471824
EIF4E2,324.305982,-0.280648787,0.505235036,-0.555481642,0.578565263,0.892322387
NPEPPS,310.982468,-0.161680286,0.582281708,-0.277666778,0.781268165,0.952122837
INVS,265.4048692,-1.124463117,0.45350106,-2.479515964,0.013156084,0.177463352
CPNE3,228.5538924,-0.777718797,0.601332986,-1.293324689,0.195898785,0.637130101
ZNF207,311.0545165,-0.553303741,0.743590134,-0.744097743,0.456817345,0.841619797
USO1,473.2487122,-0.241749057,0.513945262,-0.470378997,0.638084267,0.910858585
SLC25A46,214.9891439,-0.918947455,0.630815763,-1.456760451,0.145182516,0.573020631
DNAJB9,133.653032,-1.209159218,0.694844883,-1.740185827,0.081826394,0.453962644
TOMM20,280.4439475,-0.433179567,0.536022146,-0.808137444,0.419011465,0.819271129
TMEM30A,509.760237,-0.67616789,0.513598998,-1.316528834,0.187996607,0.628736791
LOC729737,902.1752516,4.325843177,0.718224431,6.022968574,1.71E-09,3.98E-07
TRMT5,92.3759011,-1.057755867,0.683244152,-1.548137461,0.121589205,0.533824725
UNC5B,572.5963868,1.09617753,0.416863706,2.629582558,0.008548977,0.139124228
ETNK1,251.2417739,-0.693125753,0.688817421,-1.006254678,0.314293076,0.747854968
ENAH,1894.502429,1.270060234,0.351589717,3.612336123,0.000303451,0.01420035
SLC40A1,309.6219778,-0.855887531,0.513722857,-1.666049154,0.095703625,0.4866002
ZNF252P,166.6690087,-0.54743794,0.665414881,-0.822701679,0.410677661,0.814590442
ETFA,209.0783027,-0.945343709,0.638642133,-1.480240122,0.138809177,0.564033666
STUB1,683.0589408,1.065322022,0.271471311,3.924252686,8.70E-05,0.005319083
NCOA7,572.5305002,-0.695716732,0.37298066,-1.865289025,0.062140903,0.400639421
KRT7,481.2427784,-0.694365098,0.581790481,-1.193496835,0.232674851,0.676909687
TOP2B,919.5511032,-0.223433984,0.335564235,-0.665845645,0.505509766,0.862620577
JAK1,962.254195,-0.2914115,0.340389898,-0.856110894,0.391936443,0.802632817
MBD3,640.5154992,0.975620451,0.32653811,2.987769027,0.002810218,0.065909969
SETX,1142.541064,-0.192718056,0.345557814,-0.557701341,0.577048342,0.892297845
SHOC2,269.9109453,-0.20595191,0.46384826,-0.444007078,0.657037466,0.917510452
MSN,2752.093812,-0.412590383,0.409490664,-1.007569694,0.313661084,0.747277004
TWISTNB,85.47217576,-1.283056994,0.779756999,-1.645457489,0.099875502,0.492922019
SNORD83B,197.5276561,5.204381854,0.752479394,6.916311454,4.64E-12,1.79E-09
MINA,205.6689251,-1.845253174,0.779099907,-2.368442298,0.017863167,0.209926281
HNRNPA2B1,4441.446169,-0.282558222,0.320661472,-0.881172971,0.378224206,0.79366397
SFMBT1,492.4454083,1.268687175,0.421388316,3.010731734,0.00260619,0.06238429
RHOA,880.5366043,-0.356869073,0.547229513,-0.65213784,0.514312255,0.865573412
CREBZF,2094.213561,0.687203036,0.337159484,2.038213571,0.041528579,0.32823859
NPIPA1,9.783248695,-1.030837017,1.266777517,-0.813747484,0.415789626,0.817666578
USP7,583.4630783,-0.450250823,0.333993149,-1.348084007,0.177631365,0.617899526
GRN,446.5433508,-0.603941744,0.487622071,-1.238544726,0.215514149,0.659446287
PANK3,330.3610022,-0.389507685,0.478962834,-0.813231545,0.416085317,0.817666578
CA11,323.2196405,1.033774058,0.491998688,2.101172388,0.035625836,0.301966261
PSMB6,205.4066836,-0.569357918,0.709772774,-0.802169285,0.422455041,0.821071429
GOLGA8A,1194.835875,1.594004838,0.502673484,3.171054152,0.001518868,0.043970769
SLTM,1675.763501,-0.443686724,0.234653888,-1.890813435,0.058649253,0.392298377
EPB41L1,800.0134972,-0.617673692,0.278713647,-2.216158766,0.026680631,0.261613255
WASL,443.0545724,-0.871961743,0.464205663,-1.878395318,0.060327106,0.395793914
ATP11A,1087.720683,-0.373215011,0.257599052,-1.448821368,0.147387475,0.575423872
RFWD2,184.9349925,-0.44694859,0.544888296,-0.820257277,0.412069456,0.815686917
STRN,628.5329292,-0.630782065,0.39920639,-1.580090102,0.114086234,0.519723633
RNVU1-7,1009.475273,6.244433522,0.713103302,8.75670258,2.01E-18,2.65E-15
C2orf69,48.77446419,-0.790806496,0.957924132,-0.825541887,0.409064012,0.814185147
WASF2,655.3403349,-0.249704423,0.331291368,-0.753730543,0.451011038,0.83935242
ERC1,1794.285471,-0.507401531,0.233445129,-2.173536593,0.029739955,0.276306332
PLCD3,495.6911161,1.149364623,0.456542965,2.517538791,0.011817796,0.167637381
DDX51,422.3507092,0.886649148,0.394237629,2.249022121,0.024511089,0.249151653
OFD1,364.0115095,-0.475111909,0.480548768,-0.988686144,0.322816724,0.754525348
MGLL,520.104935,-0.215836379,0.426583963,-0.505964587,0.61288151,0.903036059
ITGA2,454.1437399,-0.905812547,0.580110094,-1.561449381,0.118417758,0.527130042
CLASP1,820.3746142,-0.578987162,0.335611904,-1.72516873,0.084497069,0.458526488
SNORA71C,405.1515697,6.318856804,0.723563037,8.732973466,2.48E-18,3.06E-15
SNORA8,1034.125463,3.389860736,0.597349058,5.674840681,1.39E-08,2.59E-06
JADE1,989.2183191,-0.60053532,0.413578465,-1.45204688,0.146488571,0.575318377
MIA2,120.9315764,-1.007227447,0.948477451,-1.061941373,0.288262301,0.728606672
IFT80,172.801832,-0.319202994,0.66776393,-0.478017724,0.63263759,0.908840767
SNORA7B,246.9234449,2.764275607,0.599435016,4.611468351,4.00E-06,0.000383298
FAM199X,427.5243113,-0.685041216,0.554304455,-1.235857316,0.216511605,0.660324874
ZNF253,75.98304642,-0.345704526,0.789942695,-0.43763241,0.661652773,0.919336248
B4GALT1,380.6884589,-0.582753317,0.557882247,-1.044581218,0.296216564,0.733911252
NBPF9,620.5864427,1.723714724,0.565306407,3.049168913,0.002294754,0.057435749
GCC2,888.1488428,-0.190989868,0.385395512,-0.495568479,0.620198897,0.905425284
TRIM65,366.6394594,2.613234331,0.489180592,5.342064619,9.19E-08,1.35E-05
ATG12,378.6475616,1.761485121,0.457789418,3.847806553,0.00011918,0.006724482
LIFR,757.8259751,-0.859627483,0.478402861,-1.796869444,0.072356349,0.4298711
TUBE1,84.49950061,-0.603107336,0.8185332,-0.736814751,0.461235012,0.843298677
ZNF84,332.8397559,-0.318178842,0.40181718,-0.79184977,0.428448278,0.824899737
MAN1A1,719.7901751,-0.746736488,0.360277787,-2.07266869,0.038203124,0.31330369
CRIM1,1434.788363,-0.525881605,0.331303139,-1.587312471,0.112441892,0.516547952
BMP1,460.1942626,1.042162821,0.419354141,2.485161629,0.012949263,0.176238483
IVNS1ABP,1176.072078,-0.755981202,0.454233884,-1.664299447,0.096052603,0.486722591
PGF,97.99500316,2.405796755,0.67680194,3.554654049,0.000378477,0.016733345
ARRDC3,398.1402535,-0.318670551,0.628965521,-0.50665822,0.61239465,0.903036059
DDX1,371.3200515,-0.346937464,0.505282065,-0.68662137,0.492321358,0.856216355
FAM208A,510.6206351,-0.474683385,0.462053255,-1.027334792,0.304262845,0.740246724
TRIM26,739.8654768,1.748953278,1.078354434,1.621872386,0.104830675,0.501744104
ADGRL4,78.69636456,-0.990128752,0.689087052,-1.436870348,0.150754837,0.580216182
KCNJ1,521.7975389,-1.53893726,0.764600742,-2.012733151,0.04414271,0.339982575
SLC39A9,281.6997667,-0.779350507,0.557670809,-1.397509953,0.162260276,0.596484721
KIAA1033,476.4878581,-0.3219431,0.443154054,-0.726481225,0.467543813,0.846320725
TMEM184C,137.9612987,-0.587347567,0.432956012,-1.356598708,0.174908752,0.615997535
SSBP3,407.7223155,1.436694753,0.356551064,4.02942214,5.59E-05,0.003680641
RHOB,657.0436091,-1.293442962,0.510477942,-2.533788154,0.011283692,0.162545696
ZBTB44,585.1839638,-0.126397331,0.342692227,-0.368836295,0.712249749,0.936768641
MPP5,366.1674705,-0.627814644,0.375032314,-1.674028134,0.09412507,0.483438613
FTO,343.273225,-0.367390505,0.393841082,-0.932839467,0.35090286,0.775853127
PRRC1,192.5927178,-0.907365707,0.720754988,-1.258910063,0.208062819,0.65320124
BICD1,363.5552353,-0.557262648,0.414084769,-1.345769487,0.178376869,0.618651535
MUC1,615.721783,-0.711682073,0.609874313,-1.166932364,0.243237685,0.686664299
VCP,1021.179162,-0.590376362,0.305991557,-1.929387754,0.053682743,0.375917478
CUL1,275.4053124,-0.172896257,0.566727526,-0.305078276,0.760306536,0.947570176
YPEL2,348.3997614,-0.441197289,0.43937173,-1.004154931,0.315303942,0.748392096
HNRNPU,8174.17806,0.784758041,0.233651755,3.3586653,0.000783199,0.027569709
LZTS3,990.6770621,1.433900598,0.415049327,3.454771531,0.000550759,0.021928216
FUBP1,650.7033298,-0.353789303,0.407770979,-0.867617661,0.385603675,0.799185899
NOP2,481.1499208,0.619391685,0.367672933,1.684626825,0.092060593,0.477293931
CTSD,2082.072351,-0.80244055,0.479350031,-1.674017936,0.094127074,0.483438613
TTC21B,221.768762,-0.485546288,0.369156658,-1.315285197,0.188414071,0.628855125
SMAD4,398.8601933,-0.37899736,0.332552818,-1.139660649,0.254427708,0.698517777
SLC5A12,14974.70586,1.276132813,0.763236324,1.672002201,0.094523888,0.484562452
CTGF,681.0184692,-1.871416292,0.528034912,-3.544114696,0.000393934,0.017060099
COQ4,100.6620422,-0.571664185,0.728619297,-0.784585568,0.432696595,0.828394799
LINC00645,40.45062082,-1.409062788,1.057975384,-1.331848368,0.18291002,0.623960456
TRPC1,50.35593611,-0.559028739,0.789261684,-0.70829327,0.478763156,0.851008069
ARHGAP18,330.1238313,-0.772186644,0.481140733,-1.604908066,0.108514038,0.508527581
HINT1,208.2828279,-0.619069043,0.890130007,-0.695481601,0.486753538,0.85401249
BHLHE40,570.0432194,-1.42080918,0.483018187,-2.941523154,0.003266024,0.073795706
FBXW4,1627.571851,2.155802736,0.430729371,5.005005191,5.59E-07,6.81E-05
MTURN,968.0433667,-0.375096048,0.478646763,-0.783659427,0.433239975,0.828712033
CCDC88B,723.5204261,1.661714936,0.534973145,3.106165144,0.001895308,0.050442788
ACOX1,2288.779944,2.236224775,0.541948087,4.126271183,3.69E-05,0.002545783
TMED5,432.7365964,-0.9728564,0.628904828,-1.5469056,0.12188601,0.53441495
TXNDC11,198.2673409,-0.798900954,0.529405881,-1.509051907,0.131285518,0.551007476
PKM,2698.995984,-0.583414557,0.484885689,-1.203200197,0.228898859,0.672462758
PCDH9,174.0632334,-1.119931146,0.649160365,-1.725199514,0.084491523,0.458526488
UBE2A,102.9170736,-0.26480308,0.617077096,-0.42912479,0.667832412,0.921023879
TGFBR2,817.2171854,-0.704077987,0.493384954,-1.427035788,0.153569579,0.583857775
KLF9,453.4770802,-1.552834515,0.512971049,-3.0271387,0.002468806,0.060115895
CYFIP2,1316.850832,-1.573472244,0.404415963,-3.89072734,9.99E-05,0.005909275
TMEM57,193.800614,-0.477687144,0.708480394,-0.674241867,0.500157556,0.860139539
NF1,882.268589,-0.639851185,0.337327249,-1.896826263,0.057850872,0.390711018
DENND6A,387.4837352,1.389849884,0.371767596,3.7384912,0.000185128,0.009595557
PIBF1,226.7831421,-0.23959805,0.509135203,-0.470598081,0.637927778,0.910858585
SNORD59B,313.2662019,5.619151574,0.758641009,7.406865046,1.29E-13,6.72E-11
VPS39,421.3436758,-0.658333551,0.365221555,-1.80255941,0.071457436,0.427557775
CEP63,305.525786,-0.431861048,0.40779776,-1.059007897,0.289596183,0.729274657
SSR4,49.65876892,-1.000097164,0.788856698,-1.267780531,0.204876337,0.649005116
TNFAIP2,2428.486269,0.964841767,0.364599048,2.646309069,0.008137543,0.135192168
SHPRH,653.1133004,-0.737151198,0.387455227,-1.9025455,0.057099876,0.387627487
PPA2,210.0861593,-0.528860011,0.775343252,-0.682097909,0.495177043,0.856754417
CCNC,111.9308748,-0.661457507,0.694801818,-0.95200889,0.341092474,0.769207308
C3orf17,122.0934647,-1.078926359,0.787666996,-1.369774744,0.170757228,0.609511293
NGRN,469.0997577,-0.372108767,0.490068273,-0.759299851,0.447673207,0.836777436
VWA9,77.51431097,-0.839482493,0.775305192,-1.082776824,0.278907495,0.721122961
FEZF2,52.86343312,4.853153543,0.839697579,5.779644557,7.49E-09,1.48E-06
TUSC2,42.68408063,-1.408821682,0.880845704,-1.599396665,0.109732493,0.511325452
SNORA37,554.341281,4.390242652,0.674228967,6.511501083,7.44E-11,2.13E-08
TNFAIP8L1,387.6841445,2.257480157,0.486938091,4.63607222,3.55E-06,0.000347146
LDHA,1028.238427,-0.190147471,0.571099369,-0.332949889,0.73917211,0.94394096
SLC24A1,952.3162582,0.607596417,0.519032418,1.170632884,0.241746373,0.685861848
ZNF292,920.7518615,-0.400909033,0.319471793,-1.254912146,0.209510654,0.654861728
DSE,739.4249632,1.619550291,0.383944683,4.218186536,2.46E-05,0.001821513
MAGT1,848.2794776,1.887583463,0.527397653,3.579051694,0.000344843,0.015619185
TMEM165,216.6324125,-0.355203618,0.507563586,-0.699820925,0.484039145,0.852775749
SRRT,1903.703695,0.509095658,0.327367068,1.555121783,0.119917068,0.530281571
CD24,1651.044494,-0.942162842,0.684913822,-1.375593268,0.168947592,0.607794473
DDIT4,190.9986212,-1.20841318,0.618810445,-1.952800229,0.050843271,0.36697655
NBPF8,302.8285871,1.944545289,0.38903531,4.998377365,5.78E-07,7.00E-05
ZNF268,177.1104947,-0.683238783,0.643851539,-1.061174419,0.288610642,0.72887493
NPEPL1,347.4678569,3.512510894,0.610580275,5.75274217,8.78E-09,1.68E-06
ARFGAP3,259.6452012,-0.524978274,0.599276366,-0.87602032,0.381018987,0.795555398
HMG20A,228.0888108,-0.541886298,0.498667898,-1.086667701,0.277183693,0.719580454
ACSL4,574.069227,-0.191493757,0.702321391,-0.272658301,0.785115891,0.952972576
ADAMTS9-AS2,206.2912612,-0.875912669,0.63146142,-1.387119848,0.165405221,0.601218902
NUFIP2,634.9071115,-0.30480806,0.426094806,-0.715352676,0.474391147,0.849221493
DNAJC25,55.01347628,-1.082465313,0.771843807,-1.402440887,0.160783631,0.59400459
LMBRD1,163.9364487,-1.061155595,0.812754822,-1.305628175,0.191679034,0.633201333
CDH16,1831.274204,-0.993420963,0.590660649,-1.681881068,0.092591904,0.479249878
NAPA,257.2149583,-0.685150764,0.618759304,-1.107297716,0.268165232,0.710814514
SCARNA8,1205.523132,7.716695719,0.794014295,9.718585375,2.51E-22,8.27E-19
ARMCX5,47.75449628,-1.543256836,0.884624596,-1.74453304,0.081066185,0.451719816
MORC3,220.8937766,-0.193566553,0.713142205,-0.271427706,0.786062095,0.953159417
SOD1,488.4426415,-0.88296205,0.543617725,-1.62423337,0.104326011,0.501516571
HERC4,291.2577444,-0.227355967,0.520088193,-0.437148872,0.662003386,0.919420695
NUDCD2,31.10090656,-1.049749321,0.892325684,-1.176419484,0.239427289,0.684033042
SNORA71A,1022.342252,5.406958279,0.698704066,7.738552761,1.01E-14,5.67E-12
RBM25,7130.439564,0.234199639,0.345147994,0.678548457,0.497424011,0.858011267
SMAD5,271.8266036,-0.390088042,0.623388139,-0.625754675,0.531475865,0.87351083
HEATR3,224.0843201,1.519147465,0.465299879,3.264878273,0.001095111,0.035050661
NDUFS5,383.7749721,-0.476783788,0.659907567,-0.722500865,0.469986594,0.848034355
MICALL2,589.7739824,1.325755317,0.426701002,3.106988998,0.001890034,0.050370308
ABCD3,259.8935688,-0.88418857,0.65400857,-1.351952574,0.176390487,0.61655395
RAB13,1941.450612,1.538407867,0.319780254,4.810828211,1.50E-06,0.000163991
ENO1,1885.584298,-1.158606788,0.469051549,-2.47010545,0.013507323,0.179588106
STARD7,495.4358833,-0.460106248,0.571740853,-0.804746146,0.420966185,0.820374499
RIN2,331.5432548,-0.729953681,0.531874619,-1.372416833,0.169933713,0.609025515
MAP3K10,507.5793213,1.00373783,0.46331525,2.166425193,0.030278711,0.279526821
THOC1,221.1947908,-0.348506723,0.448177496,-0.777608708,0.436799726,0.830913448
GTPBP8,26.46551545,-0.598301489,0.896342258,-0.667492226,0.504457774,0.862502831
ZC3H8,64.54679887,-0.547846981,0.827334765,-0.662182957,0.507853975,0.863089527
GABARAPL1,487.4899697,-0.755221575,0.480647245,-1.571259551,0.116122373,0.523298061
PEBP1,512.7051746,-1.809149746,0.75746772,-2.388418278,0.016921071,0.202844917
EXT2,286.1984558,-0.383141994,0.469979506,-0.815231279,0.414939937,0.817543038
ARHGAP12,369.8126027,-0.300368953,0.434860333,-0.690725114,0.489738304,0.855881711
SLC30A9,395.164308,-0.7451246,0.642178538,-1.160307541,0.245923616,0.688962911
CPEB2,353.2385721,-0.337790002,0.530363967,-0.636902246,0.52418852,0.870327466
MED14,296.5756606,-0.191943308,0.540432165,-0.355166329,0.722464988,0.938828327
ZNF793,314.9920766,1.268823736,0.417764951,3.03717134,0.002388097,0.058859038
SLMO2,27.9865856,-0.853445348,1.080774408,-0.789660952,0.429725801,0.825668917
CSNK2A2,126.5916308,-0.36822851,0.552491871,-0.666486747,0.505100032,0.862620577
SIX5,242.8330882,1.349438142,0.428499011,3.149221135,0.001637063,0.04598679
